Murder,"61","77","-20.8"
Rape,"230","221","4.1"
Robbery,"2,715","2,583","5.1"
Fel. Assault,"4,539","4,430","2.5"
Burglary,"1,592","1,670","-4.7"
Gr. Larceny,"4,941","4,302","14.9"
G.L.A.,"2,278","2,953","-22.9"
Transit,"176","162","8.6"
Housing,"925","989","-6.5"
Petit Larceny,"8,820","9,900","-10.9"
Retail Theft,"3,522","4,264","-17.4"
Misd. Assault,"6,175","5,823","6.0"
UCR Rape*,"359","365","-1.6"
Other Sex Crimes,"674","583","15.6"
Shooting Vic.,"219","222","-1.4"
Shooting Inc.,"179","182","-1.6"
Hate Crimes,"14","11","27.3"
Traffic Fatalities,"25","23","8.7"
TOTAL,"16,356","16,236","0.74"
