Murder,"31","39","-20.5"
Rape,"124","116","6.9"
Robbery,"976","969","0.7"
Fel. Assault,"2,000","1,930","3.6"
Burglary,"798","951","-16.1"
Gr. Larceny,"3,270","3,656","-10.6"
G.L.A.,"1,102","1,000","10.2"
Transit,"113","108","4.6"
Housing,"270","286","-5.6"
Petit Larceny,"8,263","8,826","-6.4"
Retail Theft,"3,989","4,248","-6.1"
Misd. Assault,"3,548","3,222","10.1"
UCR Rape*,"185","170","8.8"
Other Sex Crimes,"401","367","9.3"
Shooting Vic.,"63","83","-24.1"
Shooting Inc.,"55","71","-22.5"
Hate Crimes,"85","50","70.0"
Traffic Fatalities,"27","24","12.5"
TOTAL,"8,301","8,661","-4.16"
