Murder,"14","11","27.3"
Rape,"85","66","28.8"
Robbery,"860","987","-12.9"
Fel. Assault,"1,274","1,215","4.9"
Burglary,"1,040","1,180","-11.9"
Gr. Larceny,"5,580","6,352","-12.2"
G.L.A.,"241","320","-24.7"
Transit,"336","371","-9.4"
Housing,"221","225","-1.8"
Petit Larceny,"12,012","11,208","7.2"
Retail Theft,"10,177","9,353","8.8"
Misd. Assault,"2,728","2,741","-0.5"
UCR Rape*,"133","118","12.7"
Other Sex Crimes,"503","500","0.6"
Shooting Vic.,"21","25","-16.0"
Shooting Inc.,"18","20","-10.0"
Hate Crimes,"89","71","25.4"
Traffic Fatalities,"14","7","100.0"
TOTAL,"9,094","10,131","-10.24"
