Murder,"8","14","-42.9"
Rape,"118","114","3.5"
Robbery,"1,227","1,062","15.5"
Fel. Assault,"1,850","1,570","17.8"
Burglary,"1,027","1,092","-6.0"
Gr. Larceny,"3,666","3,786","-3.2"
G.L.A.,"1,379","1,346","2.5"
Transit,"164","210","-21.9"
Housing,"146","144","1.4"
Petit Larceny,"8,926","8,403","6.2"
Retail Theft,"5,510","4,720","16.7"
Misd. Assault,"3,502","2,888","21.3"
UCR Rape*,"176","177","-0.6"
Other Sex Crimes,"351","397","-11.6"
Shooting Vic.,"12","39","-69.2"
Shooting Inc.,"10","35","-71.4"
Hate Crimes,"39","48","-18.8"
Traffic Fatalities,"29","24","20.8"
TOTAL,"9,275","8,984","3.24"
