Murder,"2","12","-83.3"
Rape,"33","23","43.5"
Robbery,"178","176","1.1"
Fel. Assault,"532","540","-1.5"
Burglary,"168","208","-19.2"
Gr. Larceny,"863","868","-0.6"
G.L.A.,"191","239","-20.1"
Transit,"0","0","0"
Housing,"60","86","-30.2"
Petit Larceny,"2,311","2,321","-0.4"
Retail Theft,"1,233","1,092","12.9"
Misd. Assault,"1,052","981","7.2"
UCR Rape*,"58","39","48.7"
Other Sex Crimes,"115","120","-4.2"
Shooting Vic.,"9","20","-55.0"
Shooting Inc.,"9","18","-50.0"
Hate Crimes,"14","7","100.0"
Traffic Fatalities,"6","8","-25"
TOTAL,"1,967","2,066","-4.79"
